"","date","RetNom","RetReal","RetHistAve","PriceDev","PriceDev2","TriggerPercent","HeadInf","RiceInf","Contri","IppReal","IppNom","WsaleReal","IPPGap","WsaleNom","RetGap","SURCurrent","TotalUse","SURindex","CPSI","risk_categ"
"12",2016-12-01,36.6,38.904077787877,39.4634721645785,-0.0141749913532356,0.283426089317226,-0.381056069678826,2.2,0.5,0.00044344631,28.8698019879304,27.16,43.4854049825564,0.506259204712813,40.91,0.105353214373014,3338.98,12566,0.739366169697916,0.273119405289396,"High Risk"
"13",2017-01-01,36.76,39.0042902738316,39.4443702134872,-0.0111569772130644,0.333255335080494,0.437158469945346,2.5,0.9,0.00079820337,28.881849327315,27.22,35.906016944759,0.243203526818516,33.84,-0.08628841607565,2765.12,13966,0.779952252108865,0.224279875117219,"Moderate Risk"
"14",2017-02-01,36.75,38.9814715544652,39.6210176801387,-0.0161415875492291,0.323647306231047,-0.0272034820456964,3.1,0.8,0.0007095141,29.3395238964059,27.66,36.3296707683261,0.23825018076645,34.25,-0.072992700729927,2296.321,13966,0.817259191469043,0.22907063492293,"Moderate Risk"
"15",2017-03-01,36.68,38.9237259950641,39.7319535151678,-0.0203420030629812,0.313723224807634,-0.190476190476191,3.1,1,0.00088689263,30.0098956138938,28.28,36.292023691484,0.209335219236209,34.2,-0.0725146198830408,2176.201,13966,0.826818319274232,0.225979410817293,"Moderate Risk"
"16",2017-04-01,36.62,38.8718992034084,39.8593717421439,-0.0247739112679363,0.299904959292805,-0.163576881134139,3.2,1,0.00088689263,29.4670650443729,27.76,36.4092338264406,0.235590778097983,34.3,-0.0676384839650146,2675.545,13966,0.787080614356199,0.223194136063427,"Moderate Risk"
"17",2017-05-01,36.94,39.1636477537367,39.9656437266753,-0.0200671351229428,0.30368059745671,0.87383943200437,2.9,1.2,0.00106427115,29.6430858485204,27.96,36.576769019097,0.233905579399142,34.5,-0.0707246376811594,3214.184,13966,0.744215820467929,0.213995488764235,"Moderate Risk"
"18",2017-06-01,37.05,39.1869950977992,40.1548448421519,-0.024102938217226,0.294972545747691,0.297780184082294,2.5,1.3,0.00115296042,32.9043837374882,31.11,36.5427983969855,0.11057537769206,34.55,-0.0723589001447178,2572.937,13966,0.7952461403788,0.200687263370561,"Moderate Risk"
"19",2017-07-01,37.07,39.1103225521018,40.2447821706786,-0.028188986432218,0.286979796622318,0.053981106612694,2.4,1,0.00088689263,33.0332937449291,31.31,36.8314367497756,0.11497923985947,34.91,-0.0618733887138357,2347.896,13966,0.813154862326914,0.203816673992487,"Moderate Risk"
"20",2017-08-01,37.19,39.1875455800337,40.3850249204413,-0.029651568688311,0.279737589912086,0.323711896412186,2.6,0.9,0.00079820337,32.9390340109504,31.26,37.1960300891411,0.129238643634037,35.3,-0.0535410764872521,2027.999,13966,0.838612207544167,0.210368339944753,"Moderate Risk"
"21",2017-09-01,37.48,39.4323893603439,40.0722107061392,-0.0159667094607604,0.284498197979083,0.779779510621132,3,0.7,0.00062082484,31.9099351477321,30.33,37.1283089800022,0.163534454335641,35.29,-0.0620572400113346,1422.835,13966,0.886771048862009,0.225790055501949,"Moderate Risk"
